# N & $<x>$ & $<p>$ & E & <x> & <y>
0.000000000000000000e+00 & 5.000000000000000000e-01 & 4.999999999999999445e-01 & 5.000000000000000000e-01 & 7.071067811865475727e-01 & 7.071067811865474617e-01
1.000000000000000000e+00 & 1.500000000000023537e+00 & 1.500000000000024203e+00 & 1.500000000000023981e+00 & 1.224744871391598711e+00 & 1.224744871391598933e+00
2.000000000000000000e+00 & 2.500000000000611511e+00 & 2.500000000000514699e+00 & 2.500000000000563105e+00 & 1.581138830084382940e+00 & 1.581138830084352520e+00
3.000000000000000000e+00 & 3.499999999996226130e+00 & 3.499999999994019451e+00 & 3.499999999995123012e+00 & 1.870828693385962138e+00 & 1.870828693385372388e+00
4.000000000000000000e+00 & 4.499999999832282604e+00 & 4.499999999852738242e+00 & 4.499999999842509979e+00 & 2.121320343520111340e+00 & 2.121320343524932817e+00
5.000000000000000000e+00 & 5.499999999380582594e+00 & 5.500000000009436008e+00 & 5.499999999695009301e+00 & 2.345207879779654725e+00 & 2.345207879913726590e+00
6.000000000000000000e+00 & 6.500000011175251835e+00 & 6.500000012239946834e+00 & 6.500000011707599334e+00 & 2.549509758988039554e+00 & 2.549509759196843639e+00
7.000000000000000000e+00 & 7.500000088716974211e+00 & 7.500000040797082157e+00 & 7.500000064757028184e+00 & 2.738612803723259770e+00 & 2.738612794974324416e+00
8.000000000000000000e+00 & 8.499999840702271214e+00 & 8.499999586748158364e+00 & 8.499999713725214789e+00 & 2.915475920103315133e+00 & 2.915475876550543077e+00
9.000000000000000000e+00 & 9.499996390084398001e+00 & 9.499997628593513710e+00 & 9.499997009338954967e+00 & 3.082206415878793404e+00 & 3.082206616791534071e+00
1.000000000000000000e+01 & 1.049999355325923567e+01 & 1.050000571462408061e+01 & 1.049999963394165903e+01 & 3.240369354450081119e+00 & 3.240371230989449458e+00
1.100000000000000000e+01 & 1.150006170129887551e+01 & 1.150006051295128628e+01 & 1.150006110712508089e+01 & 3.391174088910635209e+00 & 3.391173913698807496e+00
1.200000000000000000e+01 & 1.250026192781212941e+01 & 1.250000268636136269e+01 & 1.250013230708674605e+01 & 3.535570947925119611e+00 & 3.535534285841584357e+00
1.300000000000000000e+01 & 1.349965503198074757e+01 & 1.349914582091753523e+01 & 1.349940042644914229e+01 & 3.674187669673495193e+00 & 3.674118373285969241e+00
1.400000000000000000e+01 & 1.449610182661199254e+01 & 1.449884040458109347e+01 & 1.449747111559654300e+01 & 3.807374663283348504e+00 & 3.807734287549630725e+00
1.500000000000000000e+01 & 1.549661474493809976e+01 & 1.550716999280962582e+01 & 1.550189236887386279e+01 & 3.936573985706111500e+00 & 3.937914421722445990e+00
