# N & $<x^2>$ & $<p^2>$
0.000000000000000000e+00 & 5.000000000000000000e-01 & 4.999999999999999445e-01
1.000000000000000000e+00 & 1.500000000000023537e+00 & 1.500000000000024203e+00
2.000000000000000000e+00 & 2.500000000000611511e+00 & 2.500000000000514699e+00
3.000000000000000000e+00 & 3.499999999996226130e+00 & 3.499999999994019451e+00
4.000000000000000000e+00 & 4.499999999832282604e+00 & 4.499999999852738242e+00
5.000000000000000000e+00 & 5.499999999380582594e+00 & 5.500000000009436008e+00
6.000000000000000000e+00 & 6.500000011175251835e+00 & 6.500000012239946834e+00
7.000000000000000000e+00 & 7.500000088716974211e+00 & 7.500000040797082157e+00
8.000000000000000000e+00 & 8.499999840702271214e+00 & 8.499999586748158364e+00
9.000000000000000000e+00 & 9.499996390084398001e+00 & 9.499997628593513710e+00
1.000000000000000000e+01 & 1.049999355325923567e+01 & 1.050000571462408061e+01
1.100000000000000000e+01 & 1.150006170129887551e+01 & 1.150006051295128628e+01
1.200000000000000000e+01 & 1.250026192781212941e+01 & 1.250000268636136269e+01
1.300000000000000000e+01 & 1.349965503198074757e+01 & 1.349914582091753523e+01
1.400000000000000000e+01 & 1.449610182661199254e+01 & 1.449884040458109347e+01
1.500000000000000000e+01 & 1.549661474493809976e+01 & 1.550716999280962582e+01
