# N & $<x>$ & $<p>$
0.000000000000000000e+00 & 7.071067811865475727e-01 & 7.071067811865474617e-01
1.000000000000000000e+00 & 1.224744871391598711e+00 & 1.224744871391598933e+00
2.000000000000000000e+00 & 1.581138830084382940e+00 & 1.581138830084352520e+00
3.000000000000000000e+00 & 1.870828693385962138e+00 & 1.870828693385372388e+00
4.000000000000000000e+00 & 2.121320343520111340e+00 & 2.121320343524932817e+00
5.000000000000000000e+00 & 2.345207879779654725e+00 & 2.345207879913726590e+00
6.000000000000000000e+00 & 2.549509758988039554e+00 & 2.549509759196843639e+00
7.000000000000000000e+00 & 2.738612803723259770e+00 & 2.738612794974324416e+00
8.000000000000000000e+00 & 2.915475920103315133e+00 & 2.915475876550543077e+00
9.000000000000000000e+00 & 3.082206415878793404e+00 & 3.082206616791534071e+00
1.000000000000000000e+01 & 3.240369354450081119e+00 & 3.240371230989449458e+00
1.100000000000000000e+01 & 3.391174088910635209e+00 & 3.391173913698807496e+00
1.200000000000000000e+01 & 3.535570947925119611e+00 & 3.535534285841584357e+00
1.300000000000000000e+01 & 3.674187669673495193e+00 & 3.674118373285969241e+00
1.400000000000000000e+01 & 3.807374663283348504e+00 & 3.807734287549630725e+00
1.500000000000000000e+01 & 3.936573985706111500e+00 & 3.937914421722445990e+00
